Time	X	Y
132.4	4.98214	33.4865
132.5	4.82143	33.4054
132.6	4.74107	33.3243
132.7	4.74107	33.3243
132.8	4.82143	33.3243
132.9	5.0625	33.2432
133	5.14286	33.1622
133.1	5.30357	33
133.2	5.38393	32.9189
133.3	5.38393	32.9189
133.4	5.38393	32.9189
133.5	5.38393	32.8378
133.6	5.46429	32.8378
133.7	5.46429	32.8378
133.8	5.625	32.7568
133.9	5.625	32.7568
134	5.625	32.6757
134.1	5.70536	32.7568
134.2	5.70536	32.7568
134.3	5.38393	33.0811
134.4	5.38393	33.0811
134.5	5.14286	33.1622
134.6	4.98214	33.1622
134.7	4.82143	33.1622
134.8	4.66071	33.1622
134.9	4.66071	33.1622
135	4.74107	33.3243
135.1	4.74107	33.3243
135.2	4.74107	33.3243
135.3	4.82143	33.3243
135.4	4.82143	33.3243
135.5	4.82143	33.3243
135.6	4.82143	33.3243
135.7	4.82143	33.3243
135.8	4.82143	33.3243
135.9	4.82143	33.3243
136	4.82143	33.3243
136.1	4.82143	33.3243
136.2	4.82143	33.3243
136.3	4.82143	33.3243
136.4	4.82143	33.2432
136.5	4.74107	33.2432
136.6	4.74107	33.2432
136.7	4.74107	33.2432
136.8	4.82143	33.2432
136.9	4.82143	33.2432
137	4.82143	33.2432
137.1	4.82143	33.2432
137.2	4.82143	33.3243
137.3	4.82143	33.3243
137.4	4.82143	33.3243
137.5	4.82143	33.3243
137.6	4.82143	33.3243
137.7	4.82143	33.3243
137.8	4.90179	33.3243
137.9	4.90179	33.3243
138	4.90179	33.3243
138.1	4.90179	33.3243
138.2	4.90179	33.3243
138.3	4.90179	33.4054
138.4	4.90179	33.4054
138.5	4.90179	33.4054
138.6	4.90179	33.4054
138.7	4.98214	33.4054
138.8	4.98214	33.3243
138.9	4.98214	33.3243
139	5.0625	33.3243
139.1	5.0625	33.3243
139.2	5.0625	33.3243
139.3	5.0625	33.3243
139.4	5.0625	33.3243
139.5	5.14286	33.3243
139.6	5.14286	33.3243
139.7	5.14286	33.3243
